Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,150",2017
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,100",2018
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,350",2019
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,350",2020
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,250",2021
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,350",2022
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,"1,350",2023
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,350,2017
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,340,2018
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,370,2019
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,390,2020
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,480,2021
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,460,2022
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,530,2023
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"7,900",2017
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"8,200",2018
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"8,500",2019
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"8,900",2020
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"7,100",2021
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"8,200",2022
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,"7,900",2023
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"11,100",2017
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"11,300",2018
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"12,100",2019
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"12,600",2020
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"10,700",2021
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"11,900",2022
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,"12,300",2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,525,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,555,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,579,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,600,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,636,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,696,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,669,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,S,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,126,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,135,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,147,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,153,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,162,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,159,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,162,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,210,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,234,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,276,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,297,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,336,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,369,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,387,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,78,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,78,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,84,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,96,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,102,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,102,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,99,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,78,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,81,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,90,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,96,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,96,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,111,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,117,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,78,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,78,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,81,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,84,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,93,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,102,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,96,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,51,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,54,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,57,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,60,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,66,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,69,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,69,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,93,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,102,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,111,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,117,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,126,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,129,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,135,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,66,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,75,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,81,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,84,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,90,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,99,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,99,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,72,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,84,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,93,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,99,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,90,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,99,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,99,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,426,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,465,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,534,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,588,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,642,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,708,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,729,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,120,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,123,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,132,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,150,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,171,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,180,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,186,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,12,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,12,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,12,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,15,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,18,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,21,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,18,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,105,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,117,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,138,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,168,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,183,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,216,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,222,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,231,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,237,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,240,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,258,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,273,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,291,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,300,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,105,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,120,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,123,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,129,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,132,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,144,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,153,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,201,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,219,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,225,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,234,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,258,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,285,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,294,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"2,592",2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"2,778",2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"3,018",2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"3,240",2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"3,492",2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"3,795",2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,"3,849",2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,93,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,93,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,99,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,102,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,111,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,120,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,114,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,30,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,30,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,33,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,33,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,36,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,36,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,33,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,24,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,27,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,27,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,27,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,24,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,24,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,27,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,120,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,132,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,138,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,144,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,144,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,159,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,168,2023
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,All other industries,Maori tourism,Counts,39,2017
