Table_Tau,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,420933,2019,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,431373,2020,1 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,55995,2012,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,56310,2013,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,58023,2014,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,60501,2015,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,60024,2016,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,60843,2017,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,62322,2018,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,61671,2019,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,61497,2020,1 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,12732,2012,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,12825,2013,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13212,2014,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13491,2015,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13476,2016,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13494,2017,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13965,2018,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13722,2019,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,13581,2020,1 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,474468,2012,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,477546,2013,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,495495,2014,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,507963,2015,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,517632,2016,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,531738,2017,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,537300,2018,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,548352,2019,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,557685,2020,1 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,201,2012,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,198,2013,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,201,2014,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,204,2015,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,207,2016,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,210,2017,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,201,2018,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,207,2019,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga umanga,213,2020,1 me 2 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,369,2012,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,339,2013,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,390,2014,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,438,2015,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,462,2016,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,480,2017,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,501,2018,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,525,2019,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Te tatauranga o nga umanga,540,2020,1 me 2 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,327,2012,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,327,2013,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,345,2014,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,357,2015,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,372,2016,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,369,2017,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,384,2018,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,399,2019,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Te tatauranga o nga umanga,393,2020,1 me 2 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,54,2012,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,51,2013,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,63,2014,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,69,2015,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,78,2016,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,78,2017,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,84,2018,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,75,2019,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Te tatauranga o nga umanga,81,2020,1 me 2 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,957,2012,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,918,2013,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1002,2014,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1068,2015,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1116,2016,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1134,2017,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1167,2018,1 me 2
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1203,2019,1 me 2
Ripanga 1,Te tatauranga o nga kaimahi – Nga uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Te tatauranga o nga umanga,1230,2020,1 me 2 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,79600,2012,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,80700,2013,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,84500,2014,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,85000,2015,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,85400,2016,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,84000,2017,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,85500,2018,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,86600,2019,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,83300,2020,1 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1814100,2012,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1827400,2013,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1874600,2014,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1925100,2015,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1975000,2016,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2038800,2017,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2107700,2018,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2156400,2019,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2186700,2020,1 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,4650,2012,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,4500,2013,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,4900,2014,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,4700,2015,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,4850,2016,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,5200,2017,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,5000,2018,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,5300,2019,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,5300,2020,1 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,36000,2012,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,35900,2013,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,39200,2014,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,39100,2015,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,40500,2016,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,38400,2017,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,40800,2018,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,42800,2019,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,41900,2020,1 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1934300,2012,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,1948500,2013,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2003200,2014,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2054000,2015,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2105600,2016,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2166500,2017,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2239000,2018,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2291100,2019,1
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Tapeke,Nga umanga katoa o Aotearoa,Te tatauranga o nga kaimahi,2317300,2020,1 me 3
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1000,2012,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1050,2013,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1150,2014,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1150,2015,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1200,2016,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1250,2017,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1300,2018,1 me 2
Ripanga 2,Te tatauranga o nga kaimahi – Nga uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Te tatauranga o nga kaimahi,1500,2019,1 me 2
